step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
0,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
1,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
2,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
3,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
4,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
5,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
6,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
7,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
8,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
9,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
10,0,0.0,0,0,-1,-1,103,-1,-1.4630928,-1.51745,-0.018655991,-1.8138515,0.0,0.0,0.43506494,0.0
11,2,0.0,0,0,-1,-1,99,-1,-1.4630928,-1.51745,-0.113516934,-1.8138515,0.0,0.0,0.4090909,0.0
12,0,0.0,0,0,-1,-1,93,-1,-1.4630928,-1.51745,-0.25580835,-1.8138515,0.0,0.0,0.37012988,0.0
13,3,0.0,0,0,-1,-1,101,-1,-1.4630928,-1.51745,-0.06608646,-1.8138515,0.0,0.0,0.42207792,0.0
14,3,0.0,0,0,77,119,121,124,0.23822023,0.6086987,0.40821826,0.5847038,0.52,0.6217617,0.5519481,0.6476684
15,0,0.0,0,0,73,127,133,130,0.15097341,0.75044197,0.6928011,0.6998344,0.49333334,0.6632124,0.6298701,0.6787565
16,0,0.0,0,0,69,135,135,138,0.06372658,0.8921852,0.7402316,0.853342,0.46666667,0.7046632,0.64285713,0.7202073
17,0,0.0,0,0,65,143,137,144,-0.023520237,1.0339285,0.787662,0.9684726,0.44,0.746114,0.65584415,0.7512953
18,2,0.0,0,0,61,151,127,152,-0.11076706,1.1756717,0.5505097,1.1219802,0.41333333,0.78756475,0.59090906,0.7927461
19,2,0.0,0,0,57,159,107,158,-0.19801387,1.317415,0.076204956,1.2371109,0.38666666,0.82901555,0.46103895,0.8238342
20,0,0.0,0,0,53,167,87,166,-0.2852607,1.4591582,-0.39809978,1.3906183,0.36,0.8704663,0.33116883,0.865285
21,0,0.0,0,0,49,175,81,172,-0.3725075,1.6009015,-0.5403912,1.505749,0.33333334,0.9119171,0.29220778,0.89637303
