step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y
0,0,0.0,0,0,-1,-1,103
1,0,0.0,0,0,-1,-1,103
2,0,0.0,0,0,-1,-1,103
3,0,0.0,0,0,-1,-1,103
4,0,0.0,0,0,-1,-1,103
5,0,0.0,0,0,-1,-1,103
6,0,0.0,0,0,-1,-1,103
7,0,0.0,0,0,-1,-1,103
8,0,0.0,0,0,-1,-1,103
9,0,0.0,0,0,-1,-1,103
10,0,0.0,0,0,-1,-1,103
11,2,0.0,0,0,-1,-1,99
12,0,0.0,0,0,-1,-1,93
13,3,0.0,0,0,-1,-1,101
14,3,0.0,0,0,77,119,121
15,0,0.0,0,0,73,127,133
16,0,0.0,0,0,69,135,135
17,0,0.0,0,0,65,143,137
18,2,0.0,0,0,61,151,127
19,2,0.0,0,0,57,159,107
20,0,0.0,0,0,53,167,87
21,0,0.0,0,0,49,175,81
22,3,0.0,0,0,45,183,79
23,3,0.0,0,0,41,191,95
24,3,0.0,0,0,37,186,115
25,0,0.0,0,0,33,178,127
26,0,0.0,0,0,29,170,129
27,2,0.0,0,0,25,162,121
28,2,0.0,0,0,21,154,101
29,0,0.0,0,0,21,144,89
30,0,0.0,0,0,25,136,87
31,2,0.0,0,0,29,128,79
32,2,0.0,0,0,33,120,61
33,0,0.0,0,0,37,112,45
34,3,0.0,0,0,41,104,41
35,3,0.0,0,0,45,96,53
36,3,0.0,0,0,49,88,75
37,0,0.0,0,0,53,80,95
38,0,0.0,0,0,57,72,101
39,2,0.0,0,0,61,64,91
40,2,0.0,0,0,65,56,71
41,0,0.0,0,0,69,48,57
42,0,0.0,0,0,73,40,53
43,3,0.0,0,0,77,34,61
44,3,0.0,0,0,81,41,81
45,3,0.0,0,0,85,49,103
46,0,0.0,0,0,89,57,115
47,0,0.0,0,0,93,65,117
48,0,0.0,0,0,97,73,119
49,3,0.0,0,0,101,81,125
50,3,0.0,0,0,105,89,145
51,0,0.0,0,0,109,97,155
52,0,0.0,0,0,113,105,159
53,0,0.0,0,0,117,113,159
54,0,0.0,0,0,121,121,159
55,0,0.0,0,0,125,129,159
56,0,0.0,0,0,129,137,159
57,0,0.0,0,0,133,145,159
58,0,0.0,0,0,137,153,159
59,2,0.0,0,0,137,157,157
60,2,0.0,0,0,133,157,141
61,2,0.0,0,0,129,157,119
62,2,0.0,0,0,125,157,97
63,2,0.0,0,0,121,157,73
64,2,0.0,0,0,117,157,51
65,0,0.0,0,0,113,157,39
66,0,0.0,0,0,109,157,38
67,3,0.0,0,0,105,157,43
68,3,0.0,0,0,101,157,63
69,3,0.0,0,0,97,157,85
