step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,action_next,ball_vx,ball_vy,right_paddle_vy,left_paddle_vy
1,0,0.0,0,0,-1,-1,103,-1,0.0,0.0,0.0,0.0,0.0
2,0,0.0,0,0,-1,-1,103,-1,0.0,0.0,0.0,0.0,0.0
3,0,0.0,0,0,-1,-1,103,-1,0.0,0.0,0.0,0.0,0.0
4,0,0.0,0,0,-1,-1,103,-1,0.0,0.0,0.0,0.0,0.0
5,0,0.0,0,0,-1,-1,103,-1,0.0,0.0,0.0,0.0,0.0
6,0,0.0,0,0,-1,-1,103,-1,0.0,0.0,0.0,0.0,0.0
7,0,0.0,0,0,-1,-1,103,-1,0.0,0.0,0.0,0.0,0.0
8,0,0.0,0,0,-1,-1,103,-1,0.0,0.0,0.0,0.0,0.0
9,0,0.0,0,0,-1,-1,103,-1,0.0,0.0,0.0,0.0,0.0
10,0,0.0,0,0,-1,-1,103,-1,2.0,0.0,0.0,0.0,0.0
11,2,0.0,0,0,-1,-1,99,-1,0.0,0.0,0.0,-4.0,0.0
12,0,0.0,0,0,-1,-1,93,-1,3.0,0.0,0.0,-6.0,0.0
13,3,0.0,0,0,-1,-1,101,-1,3.0,0.0,0.0,8.0,0.0
14,3,0.0,0,0,77,119,121,124,0.0,78.0,120.0,20.0,125.0
15,0,0.0,0,0,73,127,133,130,0.0,-4.0,8.0,12.0,6.0
16,0,0.0,0,0,69,135,135,138,0.0,-4.0,8.0,2.0,8.0
17,0,0.0,0,0,65,143,137,144,2.0,-4.0,8.0,2.0,6.0
18,2,0.0,0,0,61,151,127,152,2.0,-4.0,8.0,-10.0,8.0
19,2,0.0,0,0,57,159,107,158,0.0,-4.0,8.0,-20.0,6.0
20,0,0.0,0,0,53,167,87,166,0.0,-4.0,8.0,-20.0,8.0
21,0,0.0,0,0,49,175,81,172,3.0,-4.0,8.0,-6.0,6.0
22,3,0.0,0,0,45,183,79,180,3.0,-4.0,8.0,-2.0,8.0
23,3,0.0,0,0,41,191,95,186,3.0,-4.0,8.0,16.0,6.0
24,3,0.0,0,0,37,186,115,188,0.0,-4.0,-5.0,20.0,2.0
25,0,0.0,0,0,33,178,127,184,0.0,-4.0,-8.0,12.0,-4.0
26,0,0.0,0,0,29,170,129,176,2.0,-4.0,-8.0,2.0,-8.0
27,2,0.0,0,0,25,162,121,170,2.0,-4.0,-8.0,-8.0,-6.0
28,2,0.0,0,0,21,154,101,162,0.0,-4.0,-8.0,-20.0,-8.0
29,0,0.0,0,0,21,144,89,156,0.0,0.0,-10.0,-12.0,-6.0
30,0,0.0,0,0,25,136,87,148,2.0,4.0,-8.0,-2.0,-8.0
31,2,0.0,0,0,29,128,79,142,2.0,4.0,-8.0,-8.0,-6.0
32,2,0.0,0,0,33,120,61,134,0.0,4.0,-8.0,-18.0,-8.0
33,0,0.0,0,0,37,112,45,128,3.0,4.0,-8.0,-16.0,-6.0
34,3,0.0,0,0,41,104,41,120,3.0,4.0,-8.0,-4.0,-8.0
35,3,0.0,0,0,45,96,53,114,3.0,4.0,-8.0,12.0,-6.0
36,3,0.0,0,0,49,88,75,106,0.0,4.0,-8.0,22.0,-8.0
37,0,0.0,0,0,53,80,95,100,0.0,4.0,-8.0,20.0,-6.0
38,0,0.0,0,0,57,72,101,92,2.0,4.0,-8.0,6.0,-8.0
39,2,0.0,0,0,61,64,91,86,2.0,4.0,-8.0,-10.0,-6.0
40,2,0.0,0,0,65,56,71,78,0.0,4.0,-8.0,-20.0,-8.0
41,0,0.0,0,0,69,48,57,72,0.0,4.0,-8.0,-14.0,-6.0
42,0,0.0,0,0,73,40,53,64,3.0,4.0,-8.0,-4.0,-8.0
43,3,0.0,0,0,77,34,61,58,3.0,4.0,-6.0,8.0,-6.0
44,3,0.0,0,0,81,41,81,50,3.0,4.0,7.0,20.0,-8.0
45,3,0.0,0,0,85,49,103,52,0.0,4.0,8.0,22.0,2.0
46,0,0.0,0,0,89,57,115,60,0.0,4.0,8.0,12.0,8.0
47,0,0.0,0,0,93,65,117,66,0.0,4.0,8.0,2.0,6.0
48,0,0.0,0,0,97,73,119,74,3.0,4.0,8.0,2.0,8.0
49,3,0.0,0,0,101,81,125,80,3.0,4.0,8.0,6.0,6.0
50,3,0.0,0,0,105,89,145,88,0.0,4.0,8.0,20.0,8.0
51,0,0.0,0,0,109,97,155,94,0.0,4.0,8.0,10.0,6.0
52,0,0.0,0,0,113,105,159,102,0.0,4.0,8.0,4.0,8.0
53,0,0.0,0,0,117,113,159,108,0.0,4.0,8.0,0.0,6.0
54,0,0.0,0,0,121,121,159,116,0.0,4.0,8.0,0.0,8.0
55,0,0.0,0,0,125,129,159,122,0.0,4.0,8.0,0.0,6.0
56,0,0.0,0,0,129,137,159,130,0.0,4.0,8.0,0.0,8.0
57,0,0.0,0,0,133,145,159,136,0.0,4.0,8.0,0.0,6.0
58,0,0.0,0,0,137,153,159,144,2.0,4.0,8.0,0.0,8.0
59,2,0.0,0,0,137,157,157,150,2.0,0.0,4.0,-2.0,6.0
60,2,0.0,0,0,133,157,141,158,2.0,-4.0,0.0,-16.0,8.0
61,2,0.0,0,0,129,157,119,162,2.0,-4.0,0.0,-22.0,4.0
62,2,0.0,0,0,125,157,97,162,2.0,-4.0,0.0,-22.0,0.0
63,2,0.0,0,0,121,157,73,162,2.0,-4.0,0.0,-24.0,0.0
64,2,0.0,0,0,117,157,51,162,0.0,-4.0,0.0,-22.0,0.0
65,0,0.0,0,0,113,157,39,162,0.0,-4.0,0.0,-12.0,0.0
