step,action,reward,score_left,score_right
0,0,0.0,0,0
1,0,0.0,0,0
2,0,0.0,0,0
3,0,0.0,0,0
4,0,0.0,0,0
5,0,0.0,0,0
6,0,0.0,0,0
7,0,0.0,0,0
8,0,0.0,0,0
9,0,0.0,0,0
10,0,0.0,0,0
11,2,0.0,0,0
12,0,0.0,0,0
13,3,0.0,0,0
14,3,0.0,0,0
15,0,0.0,0,0
16,0,0.0,0,0
17,0,0.0,0,0
18,2,0.0,0,0
19,2,0.0,0,0
20,0,0.0,0,0
21,0,0.0,0,0
22,3,0.0,0,0
23,3,0.0,0,0
24,3,0.0,0,0
25,0,0.0,0,0
26,0,0.0,0,0
27,2,0.0,0,0
28,2,0.0,0,0
29,0,0.0,0,0
30,0,0.0,0,0
31,2,0.0,0,0
32,2,0.0,0,0
33,0,0.0,0,0
34,3,0.0,0,0
35,3,0.0,0,0
36,3,0.0,0,0
37,0,0.0,0,0
38,0,0.0,0,0
39,2,0.0,0,0
40,2,0.0,0,0
41,0,0.0,0,0
42,0,0.0,0,0
43,3,0.0,0,0
44,3,0.0,0,0
45,3,0.0,0,0
46,0,0.0,0,0
47,0,0.0,0,0
48,0,0.0,0,0
49,3,0.0,0,0
50,3,0.0,0,0
51,0,0.0,0,0
52,0,0.0,0,0
53,0,0.0,0,0
54,0,0.0,0,0
55,0,0.0,0,0
56,0,0.0,0,0
57,0,0.0,0,0
58,0,0.0,0,0
59,2,0.0,0,0
60,2,0.0,0,0
61,2,0.0,0,0
62,2,0.0,0,0
63,2,0.0,0,0
64,2,0.0,0,0
65,0,0.0,0,0
66,0,0.0,0,0
67,3,0.0,0,0
68,3,0.0,0,0
69,3,0.0,0,0
70,3,0.0,0,0
71,3,0.0,0,0
72,3,0.0,0,0
73,3,0.0,0,0
74,0,0.0,0,0
75,0,0.0,0,0
76,0,0.0,0,0
77,0,0.0,0,0
78,0,0.0,0,0
79,0,0.0,0,0
80,0,0.0,0,0
81,0,0.0,0,0
82,0,0.0,0,0
83,0,0.0,0,0
84,0,0.0,0,0
85,0,0.0,0,0
86,0,0.0,0,0
87,0,0.0,0,0
88,0,0.0,0,0
89,0,0.0,0,0
90,0,0.0,0,0
91,2,0.0,0,0
92,2,0.0,0,0
93,2,0.0,0,0
94,0,0.0,0,0
95,0,0.0,0,0
96,2,0.0,0,0
97,2,0.0,0,0
98,0,0.0,0,0
99,0,0.0,0,0
100,0,0.0,0,0
101,0,0.0,0,0
102,0,0.0,0,0
103,0,0.0,0,0
104,0,0.0,0,0
105,0,0.0,0,0
106,0,0.0,0,0
107,0,0.0,0,0
108,0,0.0,0,0
109,3,0.0,0,0
110,3,0.0,0,0
111,0,0.0,0,0
112,3,0.0,0,0
113,0,0.0,0,0
114,0,0.0,0,0
115,0,0.0,0,0
116,0,0.0,0,0
117,0,0.0,0,0
118,0,0.0,0,0
119,0,0.0,0,0
120,3,0.0,0,0
121,3,0.0,0,0
122,0,0.0,0,0
123,0,0.0,0,0
124,0,0.0,0,0
125,0,0.0,0,0
126,0,0.0,0,0
127,0,0.0,0,0
128,0,0.0,0,0
129,0,0.0,0,0
130,0,0.0,0,0
131,0,0.0,0,0
132,0,0.0,0,0
133,0,0.0,0,0
134,0,0.0,0,0
135,0,0.0,0,0
136,0,0.0,0,0
137,0,0.0,0,0
138,2,0.0,0,0
139,2,0.0,0,0
140,2,0.0,0,0
141,2,0.0,0,0
142,2,0.0,0,0
143,0,0.0,0,0
144,0,0.0,0,0
145,0,0.0,0,0
146,0,0.0,0,0
147,0,0.0,0,0
148,0,0.0,0,0
149,2,0.0,0,0
150,2,0.0,0,0
151,2,-1.0,1,0
152,0,0.0,1,0
153,0,0.0,1,0
154,3,0.0,1,0
155,3,0.0,1,0
156,3,0.0,1,0
157,0,0.0,1,0
158,0,0.0,1,0
159,0,0.0,1,0
160,0,0.0,1,0
161,0,0.0,1,0
162,0,0.0,1,0
163,0,0.0,1,0
164,0,0.0,1,0
165,0,0.0,1,0
166,3,0.0,1,0
167,3,0.0,1,0
168,3,0.0,1,0
169,0,0.0,1,0
170,0,0.0,1,0
171,0,0.0,1,0
172,0,0.0,1,0
173,2,0.0,1,0
174,2,0.0,1,0
175,2,0.0,1,0
176,0,0.0,1,0
177,0,0.0,1,0
178,0,0.0,1,0
179,2,0.0,1,0
180,0,0.0,1,0
181,0,0.0,1,0
182,2,0.0,1,0
183,0,0.0,1,0
184,0,0.0,1,0
185,0,0.0,1,0
186,0,0.0,1,0
187,0,0.0,1,0
188,0,0.0,1,0
189,0,0.0,1,0
190,0,0.0,1,0
191,0,0.0,1,0
192,0,0.0,1,0
193,3,0.0,1,0
194,3,0.0,1,0
195,3,0.0,1,0
196,3,0.0,1,0
197,0,0.0,1,0
198,0,0.0,1,0
199,0,0.0,1,0
200,0,0.0,1,0
201,0,0.0,1,0
202,0,0.0,1,0
203,0,0.0,1,0
204,0,0.0,1,0
205,0,0.0,1,0
206,0,0.0,1,0
207,0,0.0,1,0
208,0,0.0,1,0
209,0,0.0,1,0
210,0,0.0,1,0
211,0,0.0,1,0
212,0,0.0,1,0
213,0,0.0,1,0
214,0,0.0,1,0
215,0,0.0,1,0
216,2,1.0,1,1
217,0,0.0,1,1
218,0,0.0,1,1
219,3,0.0,1,1
220,3,0.0,1,1
221,3,0.0,1,1
222,0,0.0,1,1
223,2,0.0,1,1
224,2,0.0,1,1
225,2,0.0,1,1
226,0,0.0,1,1
227,0,0.0,1,1
228,3,0.0,1,1
229,3,0.0,1,1
230,3,0.0,1,1
231,0,0.0,1,1
232,0,0.0,1,1
233,0,0.0,1,1
234,2,0.0,1,1
235,2,0.0,1,1
236,0,0.0,1,1
237,0,0.0,1,1
238,0,0.0,1,1
239,2,0.0,1,1
240,0,0.0,1,1
241,0,0.0,1,1
242,0,0.0,1,1
243,0,0.0,1,1
244,0,0.0,1,1
245,0,0.0,1,1
246,2,0.0,1,1
247,2,0.0,1,1
248,0,0.0,1,1
249,0,0.0,1,1
250,0,0.0,1,1
251,0,0.0,1,1
252,0,0.0,1,1
253,3,0.0,1,1
254,3,0.0,1,1
255,3,0.0,1,1
256,3,0.0,1,1
257,0,0.0,1,1
258,0,0.0,1,1
259,3,0.0,1,1
260,0,0.0,1,1
261,0,0.0,1,1
262,0,0.0,1,1
263,0,0.0,1,1
264,2,0.0,1,1
265,0,0.0,1,1
266,0,0.0,1,1
267,0,0.0,1,1
268,0,0.0,1,1
269,0,0.0,1,1
270,0,0.0,1,1
271,0,0.0,1,1
272,0,0.0,1,1
273,0,0.0,1,1
274,0,0.0,1,1
275,0,0.0,1,1
276,2,0.0,1,1
277,2,0.0,1,1
278,2,0.0,1,1
279,0,0.0,1,1
280,0,0.0,1,1
281,0,0.0,1,1
282,0,0.0,1,1
283,0,0.0,1,1
284,0,0.0,1,1
285,0,0.0,1,1
286,0,0.0,1,1
287,0,0.0,1,1
288,0,0.0,1,1
289,0,0.0,1,1
290,0,0.0,1,1
291,0,0.0,1,1
292,0,0.0,1,1
293,0,0.0,1,1
294,0,0.0,1,1
295,0,0.0,1,1
296,0,0.0,1,1
297,0,0.0,1,1
298,0,0.0,1,1
299,0,0.0,1,1
300,0,0.0,1,1
301,0,0.0,1,1
302,0,0.0,1,1
303,0,0.0,1,1
304,0,0.0,1,1
305,0,0.0,1,1
306,0,0.0,1,1
307,3,0.0,1,1
308,3,0.0,1,1
309,0,0.0,1,1
310,0,0.0,1,1
311,0,0.0,1,1
312,0,0.0,1,1
313,2,0.0,1,1
314,0,0.0,1,1
315,0,0.0,1,1
316,3,0.0,1,1
317,3,0.0,1,1
318,0,0.0,1,1
319,0,0.0,1,1
320,3,0.0,1,1
321,0,0.0,1,1
322,0,0.0,1,1
323,2,0.0,1,1
324,0,0.0,1,1
325,0,0.0,1,1
326,0,0.0,1,1
327,0,0.0,1,1
328,0,0.0,1,1
329,0,0.0,1,1
330,0,0.0,1,1
331,0,0.0,1,1
332,0,0.0,1,1
333,0,0.0,1,1
334,2,0.0,1,1
335,0,0.0,1,1
336,0,0.0,1,1
337,0,0.0,1,1
338,0,0.0,1,1
339,0,0.0,1,1
340,0,0.0,1,1
341,0,0.0,1,1
342,0,0.0,1,1
343,0,0.0,1,1
344,0,0.0,1,1
345,0,0.0,1,1
346,0,0.0,1,1
347,0,0.0,1,1
348,0,0.0,1,1
349,0,0.0,1,1
350,0,0.0,1,1
351,0,0.0,1,1
352,0,0.0,1,1
353,0,0.0,1,1
354,0,0.0,1,1
355,0,0.0,1,1
356,2,0.0,1,1
357,2,0.0,1,1
358,0,0.0,1,1
359,0,0.0,1,1
360,2,0.0,1,1
361,0,0.0,1,1
362,0,0.0,1,1
363,0,0.0,1,1
364,0,0.0,1,1
365,0,0.0,1,1
366,3,0.0,1,1
367,0,0.0,1,1
368,0,0.0,1,1
369,0,0.0,1,1
370,0,0.0,1,1
371,0,0.0,1,1
372,0,0.0,1,1
373,0,0.0,1,1
374,0,0.0,1,1
375,0,0.0,1,1
376,0,0.0,1,1
377,0,0.0,1,1
378,0,0.0,1,1
379,0,0.0,1,1
380,0,0.0,1,1
