step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
14,0,0.0,0,0,77,119,61,124,0.108173266,0.19113602,-1.2649926,0.20271094,0.53424656,0.6185567,0.1409396,0.6476684
15,0,0.0,0,0,73,127,61,130,0.009433679,0.3375182,-1.2649926,0.31816056,0.5068493,0.6597938,0.1409396,0.6787565
16,0,0.0,0,0,69,135,61,138,-0.08930591,0.48390037,-1.2649926,0.47209337,0.47945204,0.7010309,0.1409396,0.7202073
17,2,0.0,0,0,65,143,71,144,-0.1880455,0.6302826,-0.99653643,0.587543,0.4520548,0.742268,0.2080537,0.7512953
18,2,0.0,0,0,61,151,93,152,-0.28678507,0.77666473,-0.405933,0.7414758,0.42465752,0.78350514,0.3557047,0.7927461
19,2,0.0,0,0,57,159,113,158,-0.38552466,0.92304695,0.13097927,0.8569254,0.39726028,0.82474226,0.4899329,0.8238342
20,0,0.0,0,0,53,167,131,166,-0.48426425,1.0694292,0.6142003,1.0108583,0.369863,0.8659794,0.6107383,0.865285
21,0,0.0,0,0,49,175,135,172,-0.5830038,1.2158114,0.7215828,1.1263078,0.34246576,0.9072165,0.6375839,0.89637303
22,0,0.0,0,0,45,183,137,180,-0.68174344,1.3621935,0.775274,1.2802407,0.31506848,0.9484536,0.6510067,0.93782383
23,0,0.0,0,0,41,191,137,186,-0.780483,1.5085757,0.775274,1.3956903,0.28767124,0.9896907,0.6510067,0.96891195
24,0,0.0,0,0,37,186,137,188,-0.8792226,1.4170868,0.775274,1.4341736,0.26027396,0.96391755,0.6510067,0.97927463
25,2,0.0,0,0,33,178,147,184,-0.9779622,1.2707046,1.0437301,1.3572072,0.23287672,0.92268044,0.7181208,0.9585492
26,2,0.0,0,0,29,170,167,176,-1.0767018,1.1243224,1.5806423,1.2032743,0.20547946,0.8814433,0.852349,0.91709846
27,0,0.0,0,0,25,162,179,170,-1.1754414,0.97794026,1.9027897,1.0878247,0.1780822,0.8402062,0.9328859,0.88601035
28,0,0.0,0,0,21,154,181,162,-1.2741809,0.83155805,1.956481,0.93389183,0.15068494,0.7989691,0.94630873,0.8445596
29,1,0.0,0,0,21,144,173,156,-1.2741809,0.6485803,1.741716,0.8184422,0.15068494,0.7474227,0.89261746,0.8134715
30,1,0.0,0,0,25,136,153,148,-1.1754414,0.50219816,1.2048038,0.6645094,0.1780822,0.7061856,0.75838923,0.7720207
31,1,0.0,0,0,29,128,131,142,-1.0767018,0.35581598,0.6142003,0.5490598,0.20547946,0.66494846,0.6107383,0.74093264
32,0,0.0,0,0,33,120,117,134,-0.9779622,0.20943378,0.23836173,0.39512697,0.23287672,0.62371135,0.5167785,0.69948184
33,0,0.0,0,0,37,112,115,128,-0.8792226,0.0630516,0.18467051,0.27967736,0.26027396,0.58247423,0.5033557,0.6683938
34,0,0.0,0,0,41,104,113,120,-0.780483,-0.08333059,0.13097927,0.12574454,0.28767124,0.5412371,0.4899329,0.626943
35,0,0.0,0,0,45,96,113,114,-0.68174344,-0.22971277,0.13097927,0.010294915,0.31506848,0.5,0.4899329,0.59585494
36,1,0.0,0,0,49,88,111,106,-0.5830038,-0.37609497,0.077288054,-0.14363791,0.34246576,0.45876288,0.47651008,0.55440414
37,1,0.0,0,0,53,80,95,100,-0.48426425,-0.52247715,-0.35224175,-0.25908753,0.369863,0.41752577,0.3691275,0.5233161
38,1,0.0,0,0,57,72,73,92,-0.38552466,-0.6688593,-0.9428452,-0.41302034,0.39726028,0.37628865,0.22147651,0.4818653
