step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y
0,0,0.0,0,0,-1,-1,103,-1
1,0,0.0,0,0,-1,-1,103,-1
2,0,0.0,0,0,-1,-1,103,-1
3,0,0.0,0,0,-1,-1,103,-1
4,0,0.0,0,0,-1,-1,103,-1
5,0,0.0,0,0,-1,-1,103,-1
6,0,0.0,0,0,-1,-1,103,-1
7,0,0.0,0,0,-1,-1,103,-1
8,0,0.0,0,0,-1,-1,103,-1
9,0,0.0,0,0,-1,-1,103,-1
10,0,0.0,0,0,-1,-1,103,-1
11,2,0.0,0,0,-1,-1,111,-1
12,2,0.0,0,0,-1,-1,133,-1
13,0,0.0,0,0,-1,-1,145,-1
14,0,0.0,0,0,77,119,147,124
15,0,0.0,0,0,73,127,149,130
16,0,0.0,0,0,69,135,149,138
17,0,0.0,0,0,65,143,149,144
18,1,0.0,0,0,61,151,139,152
19,1,0.0,0,0,57,159,117,158
20,0,0.0,0,0,53,167,107,166
21,0,0.0,0,0,49,175,103,172
22,0,0.0,0,0,45,183,103,180
23,0,0.0,0,0,41,191,103,186
24,0,0.0,0,0,37,186,103,188
25,0,0.0,0,0,33,178,103,184
26,2,0.0,0,0,29,170,113,176
27,2,0.0,0,0,25,162,133,170
28,2,0.0,0,0,21,154,155,162
29,0,0.0,0,0,21,144,167,156
30,0,0.0,0,0,25,136,169,148
31,1,0.0,0,0,29,128,161,142
32,1,0.0,0,0,33,120,141,134
33,1,0.0,0,0,37,112,119,128
34,1,0.0,0,0,41,104,97,120
35,0,0.0,0,0,45,96,83,114
36,0,0.0,0,0,49,88,81,106
37,0,0.0,0,0,53,80,79,100
38,0,0.0,0,0,57,72,79,92
39,1,0.0,0,0,61,64,79,86
40,0,0.0,0,0,65,56,71,78
41,0,0.0,0,0,69,48,67,72
42,2,0.0,0,0,73,40,71,64
43,2,0.0,0,0,77,34,87,58
44,2,0.0,0,0,81,41,109,50
45,0,0.0,0,0,85,49,121,52
46,0,0.0,0,0,89,57,123,60
47,0,0.0,0,0,93,65,125,66
48,0,0.0,0,0,97,73,125,74
49,0,0.0,0,0,101,81,125,80
50,0,0.0,0,0,105,89,125,88
51,0,0.0,0,0,109,97,125,94
52,0,0.0,0,0,113,105,125,102
53,0,0.0,0,0,117,113,125,108
54,0,0.0,0,0,121,121,125,116
55,2,0.0,0,0,125,129,135,122
56,2,0.0,0,0,129,137,155,130
57,0,0.0,0,0,133,145,167,136
58,0,0.0,0,0,137,153,171,144
59,0,0.0,0,0,141,161,171,150
60,0,0.0,0,0,139,157,171,158
61,0,0.0,0,0,135,149,171,156
62,0,0.0,0,0,131,141,171,148
63,0,0.0,0,0,127,133,171,142
64,1,0.0,0,0,123,125,161,134
65,1,0.0,0,0,119,117,141,128
66,1,0.0,0,0,115,109,119,120
67,1,0.0,0,0,111,101,97,114
68,0,0.0,0,0,107,93,83,106
69,0,0.0,0,0,103,85,81,100
70,0,0.0,0,0,99,77,79,92
71,0,0.0,0,0,95,69,79,86
72,0,0.0,0,0,91,61,79,78
73,0,0.0,0,0,87,53,79,72
74,0,0.0,0,0,83,45,79,64
75,0,0.0,0,0,79,37,79,58
76,0,0.0,0,0,75,35,79,50
77,0,0.0,0,0,71,42,79,44
78,2,0.0,0,0,67,50,89,52
79,2,0.0,0,0,63,58,109,58
80,0,0.0,0,0,59,66,121,66
81,0,0.0,0,0,55,74,123,72
82,0,0.0,0,0,51,82,125,80
83,0,0.0,0,0,47,90,125,86
84,2,0.0,0,0,43,98,135,94
85,2,0.0,0,0,39,106,155,100
86,0,0.0,0,0,35,114,167,108
87,0,0.0,0,0,31,122,171,114
88,0,0.0,0,0,27,130,171,122
89,0,0.0,0,0,23,138,171,128
90,0,0.0,0,0,19,146,171,136
91,0,0.0,0,0,15,154,171,142
92,1,0.0,0,0,11,162,161,150
93,0,0.0,0,0,-1,-1,153,156
94,0,0.0,0,0,-1,-1,149,164
