step,action,reward,score_left,score_right,partita,ball_x,ball_y,right_paddle_y,left_paddle_y
0,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
1,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
2,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
3,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
4,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
5,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
6,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
7,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
8,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
9,0,0.0,0,0,1,-1.0,-1.0,103.0,-1.0
10,1,0.0,0,0,1,-1.0,-1.0,99.0,-1.0
11,1,0.0,0,0,1,-1.0,-1.0,83.0,-1.0
12,0,0.0,0,0,1,-1.0,-1.0,71.0,-1.0
13,0,0.0,0,0,1,-1.0,-1.0,67.0,-1.0
14,0,0.0,0,0,1,77.0,119.0,67.0,124.0
15,0,0.0,0,0,1,73.0,127.0,67.0,130.0
16,0,0.0,0,0,1,69.0,135.0,67.0,138.0
17,2,0.0,0,0,1,65.0,143.0,77.0,144.0
18,2,0.0,0,0,1,61.0,151.0,97.0,152.0
19,2,0.0,0,0,1,57.0,159.0,119.0,158.0
20,2,0.0,0,0,1,53.0,167.0,143.0,166.0
21,2,0.0,0,0,1,49.0,175.0,165.0,172.0
22,0,0.0,0,0,1,45.0,183.0,179.0,180.0
23,0,0.0,0,0,1,41.0,191.0,181.0,186.0
24,0,0.0,0,0,1,37.0,186.0,183.0,188.0
25,0,0.0,0,0,1,33.0,178.0,183.0,184.0
26,1,0.0,0,0,1,29.0,170.0,173.0,176.0
27,1,0.0,0,0,1,25.0,162.0,153.0,170.0
28,1,0.0,0,0,1,21.0,154.0,131.0,162.0
29,1,0.0,0,0,1,21.0,144.0,107.0,156.0
30,1,0.0,0,0,1,25.0,136.0,85.0,148.0
31,1,0.0,0,0,1,29.0,128.0,61.0,142.0
32,0,0.0,0,0,1,33.0,120.0,45.0,134.0
33,0,0.0,0,0,1,37.0,112.0,41.0,128.0
34,0,0.0,0,0,1,41.0,104.0,40.0,120.0
35,0,0.0,0,0,1,45.0,96.0,40.0,114.0
36,0,0.0,0,0,1,49.0,88.0,40.0,106.0
37,0,0.0,0,0,1,53.0,80.0,40.0,100.0
38,0,0.0,0,0,1,57.0,72.0,40.0,92.0
39,0,0.0,0,0,1,61.0,64.0,40.0,86.0
40,0,0.0,0,0,1,65.0,56.0,40.0,78.0
41,0,0.0,0,0,1,69.0,48.0,40.0,72.0
42,2,0.0,0,0,1,73.0,40.0,49.0,64.0
43,2,0.0,0,0,1,77.0,34.0,69.0,58.0
44,2,0.0,0,0,1,81.0,41.0,91.0,50.0
45,2,0.0,0,0,1,85.0,49.0,113.0,52.0
46,0,0.0,0,0,1,89.0,57.0,127.0,60.0
47,0,0.0,0,0,1,93.0,65.0,129.0,66.0
48,0,0.0,0,0,1,97.0,73.0,131.0,74.0
49,1,0.0,0,0,1,101.0,81.0,125.0,80.0
50,0,0.0,0,0,1,105.0,89.0,111.0,88.0
51,0,0.0,0,0,1,109.0,97.0,109.0,94.0
52,0,0.0,0,0,1,113.0,105.0,107.0,102.0
53,2,0.0,0,0,1,117.0,113.0,117.0,108.0
54,0,0.0,0,0,1,121.0,121.0,127.0,116.0
55,0,0.0,0,0,1,125.0,129.0,131.0,122.0
56,0,0.0,0,0,1,129.0,137.0,131.0,130.0
57,0,0.0,0,0,1,133.0,145.0,131.0,136.0
58,2,0.0,0,0,1,137.0,153.0,141.0,144.0
59,0,0.0,0,0,1,137.0,161.0,155.0,150.0
60,0,0.0,0,0,1,133.0,169.0,157.0,158.0
61,1,0.0,0,0,1,129.0,177.0,157.0,164.0
62,1,0.0,0,0,1,125.0,185.0,141.0,172.0
63,1,0.0,0,0,1,121.0,192.0,119.0,178.0
64,1,0.0,0,0,1,117.0,184.0,97.0,186.0
65,0,0.0,0,0,1,113.0,176.0,83.0,184.0
66,0,0.0,0,0,1,109.0,168.0,81.0,176.0
67,0,0.0,0,0,1,105.0,160.0,79.0,170.0
68,2,0.0,0,0,1,101.0,152.0,89.0,162.0
69,2,0.0,0,0,1,97.0,144.0,109.0,156.0
70,2,0.0,0,0,1,93.0,136.0,131.0,148.0
71,0,0.0,0,0,1,89.0,128.0,145.0,142.0
72,0,0.0,0,0,1,85.0,120.0,147.0,134.0
73,1,0.0,0,0,1,81.0,112.0,139.0,128.0
74,1,0.0,0,0,1,77.0,104.0,117.0,120.0
75,1,0.0,0,0,1,73.0,96.0,97.0,114.0
76,1,0.0,0,0,1,69.0,88.0,73.0,106.0
77,1,0.0,0,0,1,65.0,80.0,51.0,100.0
78,0,0.0,0,0,1,61.0,72.0,39.0,92.0
79,0,0.0,0,0,1,57.0,64.0,38.0,86.0
80,0,0.0,0,0,1,53.0,56.0,37.0,78.0
81,2,0.0,0,0,1,49.0,48.0,43.0,72.0
82,2,0.0,0,0,1,45.0,40.0,63.0,64.0
83,2,0.0,0,0,1,41.0,34.0,85.0,58.0
84,2,0.0,0,0,1,37.0,41.0,107.0,50.0
85,0,0.0,0,0,1,33.0,49.0,121.0,52.0
86,0,0.0,0,0,1,29.0,57.0,123.0,60.0
87,1,0.0,0,0,1,25.0,65.0,119.0,66.0
88,1,0.0,0,0,1,21.0,73.0,101.0,74.0
89,0,0.0,0,0,1,21.0,75.0,89.0,80.0
90,0,0.0,0,0,1,25.0,71.0,85.0,76.0
91,1,0.0,0,0,1,29.0,67.0,75.0,72.0
92,0,0.0,0,0,1,33.0,63.0,61.0,68.0
93,0,0.0,0,0,1,37.0,59.0,59.0,64.0
94,0,0.0,0,0,1,41.0,55.0,57.0,60.0
95,0,0.0,0,0,1,45.0,51.0,57.0,56.0
