step,action,reward,score_left,score_right,partita
0,0,0.0,0,0,1
1,0,0.0,0,0,1
2,0,0.0,0,0,1
3,0,0.0,0,0,1
4,0,0.0,0,0,1
5,0,0.0,0,0,1
6,0,0.0,0,0,1
7,0,0.0,0,0,1
8,0,0.0,0,0,1
9,0,0.0,0,0,1
10,0,0.0,0,0,1
11,0,0.0,0,0,1
12,1,0.0,0,0,1
13,1,0.0,0,0,1
14,1,0.0,0,0,1
15,0,0.0,0,0,1
16,0,0.0,0,0,1
17,0,0.0,0,0,1
18,2,0.0,0,0,1
19,2,0.0,0,0,1
20,2,0.0,0,0,1
21,2,0.0,0,0,1
22,2,0.0,0,0,1
23,2,0.0,0,0,1
24,0,0.0,0,0,1
25,0,0.0,0,0,1
26,1,0.0,0,0,1
27,1,0.0,0,0,1
28,0,0.0,0,0,1
29,0,0.0,0,0,1
30,0,0.0,0,0,1
31,0,0.0,0,0,1
32,0,0.0,0,0,1
33,0,0.0,0,0,1
34,1,0.0,0,0,1
35,1,0.0,0,0,1
36,0,0.0,0,0,1
37,0,0.0,0,0,1
38,0,0.0,0,0,1
39,1,0.0,0,0,1
40,0,0.0,0,0,1
41,0,0.0,0,0,1
42,0,0.0,0,0,1
43,0,0.0,0,0,1
44,0,0.0,0,0,1
45,2,0.0,0,0,1
46,0,0.0,0,0,1
47,0,0.0,0,0,1
48,0,0.0,0,0,1
49,0,0.0,0,0,1
50,2,0.0,0,0,1
51,2,0.0,0,0,1
52,0,0.0,0,0,1
53,0,0.0,0,0,1
54,0,0.0,0,0,1
55,2,0.0,0,0,1
56,2,0.0,0,0,1
57,0,0.0,0,0,1
58,0,0.0,0,0,1
59,0,0.0,0,0,1
60,0,0.0,0,0,1
61,0,0.0,0,0,1
62,0,0.0,0,0,1
63,1,0.0,0,0,1
64,1,0.0,0,0,1
65,0,0.0,0,0,1
66,0,0.0,0,0,1
67,0,0.0,0,0,1
68,0,0.0,0,0,1
69,1,0.0,0,0,1
70,1,0.0,0,0,1
71,0,0.0,0,0,1
72,0,0.0,0,0,1
73,0,0.0,0,0,1
74,0,0.0,0,0,1
75,2,0.0,0,0,1
76,2,0.0,0,0,1
77,2,0.0,0,0,1
78,2,0.0,0,0,1
79,0,0.0,0,0,1
80,0,0.0,0,0,1
81,1,0.0,0,0,1
82,1,0.0,0,0,1
83,1,0.0,0,0,1
84,0,0.0,0,0,1
85,0,0.0,0,0,1
86,0,0.0,0,0,1
87,2,0.0,0,0,1
88,2,0.0,0,0,1
89,2,0.0,0,0,1
90,2,0.0,0,0,1
91,0,0.0,0,0,1
92,0,0.0,0,0,1
93,1,0.0,0,0,1
94,1,0.0,0,0,1
95,1,1.0,0,1,1
96,1,0.0,0,1,1
97,1,0.0,0,1,1
98,0,0.0,0,1,1
99,0,0.0,0,1,1
100,0,0.0,0,1,1
101,0,0.0,0,1,1
102,0,0.0,0,1,1
103,0,0.0,0,1,1
104,0,0.0,0,1,1
105,0,0.0,0,1,1
106,0,0.0,0,1,1
107,2,0.0,0,1,1
108,2,0.0,0,1,1
109,2,0.0,0,1,1
110,2,0.0,0,1,1
111,0,0.0,0,1,1
112,0,0.0,0,1,1
113,1,0.0,0,1,1
114,1,0.0,0,1,1
115,0,0.0,0,1,1
116,0,0.0,0,1,1
117,0,0.0,0,1,1
118,0,0.0,0,1,1
119,0,0.0,0,1,1
120,0,0.0,0,1,1
121,0,0.0,0,1,1
122,0,0.0,0,1,1
123,0,0.0,0,1,1
124,0,0.0,0,1,1
125,0,0.0,0,1,1
126,0,0.0,0,1,1
127,0,0.0,0,1,1
128,0,0.0,0,1,1
129,0,0.0,0,1,1
130,0,0.0,0,1,1
131,1,0.0,0,1,1
132,1,0.0,0,1,1
133,1,0.0,0,1,1
134,0,0.0,0,1,1
135,0,0.0,0,1,1
136,0,0.0,0,1,1
137,0,0.0,0,1,1
138,0,0.0,0,1,1
139,0,0.0,0,1,1
140,0,0.0,0,1,1
141,0,0.0,0,1,1
142,0,0.0,0,1,1
143,0,0.0,0,1,1
144,0,0.0,0,1,1
145,0,0.0,0,1,1
146,2,0.0,0,1,1
147,2,0.0,0,1,1
148,0,0.0,0,1,1
149,0,0.0,0,1,1
150,2,0.0,0,1,1
151,0,0.0,0,1,1
152,0,0.0,0,1,1
153,0,0.0,0,1,1
154,0,0.0,0,1,1
155,0,0.0,0,1,1
156,0,0.0,0,1,1
157,2,0.0,0,1,1
158,2,0.0,0,1,1
159,2,0.0,0,1,1
160,2,-1.0,1,1,1
161,0,0.0,1,1,1
162,0,0.0,1,1,1
163,0,0.0,1,1,1
164,0,0.0,1,1,1
165,0,0.0,1,1,1
166,0,0.0,1,1,1
167,0,0.0,1,1,1
168,0,0.0,1,1,1
169,0,0.0,1,1,1
170,0,0.0,1,1,1
171,0,0.0,1,1,1
172,0,0.0,1,1,1
173,0,0.0,1,1,1
174,0,0.0,1,1,1
175,0,0.0,1,1,1
176,0,0.0,1,1,1
177,0,0.0,1,1,1
178,0,0.0,1,1,1
179,0,0.0,1,1,1
