step,action,reward,score_left,score_right
0,0,0.0,0,0
1,0,0.0,0,0
2,0,0.0,0,0
3,0,0.0,0,0
4,0,0.0,0,0
5,0,0.0,0,0
6,0,0.0,0,0
7,0,0.0,0,0
8,0,0.0,0,0
9,0,0.0,0,0
10,0,0.0,0,0
11,0,0.0,0,0
12,0,0.0,0,0
13,0,0.0,0,0
14,0,0.0,0,0
15,0,0.0,0,0
16,0,0.0,0,0
17,0,0.0,0,0
18,0,0.0,0,0
19,0,0.0,0,0
20,0,0.0,0,0
21,0,0.0,0,0
22,0,0.0,0,0
23,0,0.0,0,0
24,0,0.0,0,0
25,0,0.0,0,0
26,0,0.0,0,0
27,0,0.0,0,0
28,0,0.0,0,0
29,0,0.0,0,0
30,0,0.0,0,0
31,0,0.0,0,0
32,0,0.0,0,0
33,0,0.0,0,0
34,0,0.0,0,0
35,0,0.0,0,0
36,0,0.0,0,0
37,0,0.0,0,0
38,0,0.0,0,0
39,0,0.0,0,0
40,0,0.0,0,0
41,0,0.0,0,0
42,0,0.0,0,0
43,0,0.0,0,0
44,0,0.0,0,0
45,0,0.0,0,0
46,0,0.0,0,0
47,0,0.0,0,0
48,0,0.0,0,0
49,0,0.0,0,0
50,0,0.0,0,0
51,0,0.0,0,0
52,0,0.0,0,0
53,0,0.0,0,0
54,0,0.0,0,0
55,0,0.0,0,0
56,0,0.0,0,0
57,0,0.0,0,0
58,2,0.0,0,0
59,2,0.0,0,0
60,0,0.0,0,0
61,0,0.0,0,0
62,0,0.0,0,0
63,3,-1.0,1,0
64,3,0.0,1,0
65,3,0.0,1,0
66,0,0.0,1,0
67,3,0.0,1,0
68,3,0.0,1,0
69,0,0.0,1,0
70,2,0.0,1,0
71,0,0.0,1,0
72,2,0.0,1,0
73,0,0.0,1,0
74,0,0.0,1,0
75,0,0.0,1,0
76,0,0.0,1,0
77,0,0.0,1,0
78,0,0.0,1,0
79,3,0.0,1,0
80,0,0.0,1,0
81,0,0.0,1,0
82,2,0.0,1,0
83,0,0.0,1,0
84,0,0.0,1,0
85,0,0.0,1,0
86,0,0.0,1,0
87,3,0.0,1,0
88,3,0.0,1,0
89,3,0.0,1,0
90,0,0.0,1,0
91,0,0.0,1,0
92,0,0.0,1,0
93,0,0.0,1,0
94,0,0.0,1,0
95,0,0.0,1,0
96,2,0.0,1,0
97,2,0.0,1,0
98,0,-1.0,2,0
99,0,0.0,2,0
100,0,0.0,2,0
101,3,0.0,2,0
102,3,0.0,2,0
103,0,0.0,2,0
104,0,0.0,2,0
105,2,0.0,2,0
106,2,0.0,2,0
107,2,0.0,2,0
108,2,0.0,2,0
109,0,0.0,2,0
110,0,0.0,2,0
111,3,0.0,2,0
112,3,0.0,2,0
113,3,0.0,2,0
114,0,0.0,2,0
115,0,0.0,2,0
116,2,0.0,2,0
117,2,0.0,2,0
118,2,0.0,2,0
119,2,0.0,2,0
120,0,0.0,2,0
121,0,0.0,2,0
122,3,0.0,2,0
123,3,0.0,2,0
124,3,0.0,2,0
125,3,0.0,2,0
126,3,0.0,2,0
127,3,0.0,2,0
128,3,0.0,2,0
129,0,0.0,2,0
130,0,0.0,2,0
131,2,0.0,2,0
132,2,0.0,2,0
133,0,-1.0,3,0
134,0,0.0,3,0
135,0,0.0,3,0
136,3,0.0,3,0
137,3,0.0,3,0
138,3,0.0,3,0
139,3,0.0,3,0
140,3,0.0,3,0
141,3,0.0,3,0
142,3,0.0,3,0
143,0,0.0,3,0
144,0,0.0,3,0
145,0,0.0,3,0
146,0,0.0,3,0
147,2,0.0,3,0
148,0,0.0,3,0
149,0,0.0,3,0
150,0,0.0,3,0
151,0,0.0,3,0
152,0,0.0,3,0
153,0,0.0,3,0
154,0,0.0,3,0
155,2,0.0,3,0
156,0,0.0,3,0
157,0,0.0,3,0
158,0,0.0,3,0
159,0,0.0,3,0
160,0,0.0,3,0
161,3,0.0,3,0
162,0,0.0,3,0
163,0,0.0,3,0
164,0,0.0,3,0
165,0,0.0,3,0
166,0,0.0,3,0
167,0,0.0,3,0
168,0,0.0,3,0
169,0,0.0,3,0
170,0,0.0,3,0
171,0,0.0,3,0
172,0,0.0,3,0
173,2,0.0,3,0
174,2,0.0,3,0
175,0,0.0,3,0
176,0,0.0,3,0
177,2,0.0,3,0
178,0,0.0,3,0
179,0,0.0,3,0
180,0,0.0,3,0
181,0,0.0,3,0
182,0,0.0,3,0
183,0,0.0,3,0
184,0,0.0,3,0
185,0,0.0,3,0
186,0,0.0,3,0
187,0,0.0,3,0
188,0,0.0,3,0
189,0,0.0,3,0
190,0,0.0,3,0
191,0,0.0,3,0
192,0,0.0,3,0
193,3,0.0,3,0
194,3,0.0,3,0
195,0,0.0,3,0
196,0,0.0,3,0
197,0,0.0,3,0
198,0,0.0,3,0
199,0,0.0,3,0
200,0,0.0,3,0
201,0,0.0,3,0
202,0,0.0,3,0
203,0,0.0,3,0
204,0,0.0,3,0
205,0,0.0,3,0
206,0,0.0,3,0
207,0,0.0,3,0
208,0,0.0,3,0
209,2,0.0,3,0
210,2,0.0,3,0
211,2,0.0,3,0
212,0,0.0,3,0
213,0,0.0,3,0
214,0,0.0,3,0
215,0,0.0,3,0
216,0,0.0,3,0
217,2,0.0,3,0
218,2,0.0,3,0
219,0,0.0,3,0
220,0,0.0,3,0
221,0,0.0,3,0
222,0,0.0,3,0
223,0,0.0,3,0
224,0,0.0,3,0
225,0,0.0,3,0
226,0,0.0,3,0
227,0,0.0,3,0
228,0,0.0,3,0
229,0,0.0,3,0
230,0,0.0,3,0
231,3,0.0,3,0
232,3,0.0,3,0
233,0,0.0,3,0
234,0,0.0,3,0
235,0,0.0,3,0
236,0,0.0,3,0
237,0,0.0,3,0
238,3,0.0,3,0
239,0,0.0,3,0
240,0,0.0,3,0
241,0,0.0,3,0
242,0,0.0,3,0
243,0,0.0,3,0
244,2,0.0,3,0
245,2,0.0,3,0
246,0,0.0,3,0
247,0,0.0,3,0
248,0,0.0,3,0
249,0,0.0,3,0
250,0,0.0,3,0
251,0,0.0,3,0
252,0,0.0,3,0
253,0,0.0,3,0
254,0,0.0,3,0
255,0,0.0,3,0
256,2,0.0,3,0
257,0,0.0,3,0
258,0,0.0,3,0
259,3,0.0,3,0
260,0,0.0,3,0
261,2,0.0,3,0
262,0,0.0,3,0
263,0,0.0,3,0
264,0,0.0,3,0
265,0,0.0,3,0
266,3,0.0,3,0
267,3,0.0,3,0
268,0,0.0,3,0
269,0,0.0,3,0
270,0,0.0,3,0
271,0,0.0,3,0
272,0,0.0,3,0
273,0,0.0,3,0
274,3,0.0,3,0
275,0,0.0,3,0
276,0,0.0,3,0
277,0,0.0,3,0
278,0,0.0,3,0
279,0,0.0,3,0
280,0,0.0,3,0
281,0,0.0,3,0
282,0,0.0,3,0
283,0,0.0,3,0
284,0,0.0,3,0
285,0,0.0,3,0
286,0,0.0,3,0
287,0,0.0,3,0
288,0,0.0,3,0
289,0,0.0,3,0
290,0,0.0,3,0
291,0,0.0,3,0
292,0,0.0,3,0
293,0,0.0,3,0
294,0,0.0,3,0
295,0,0.0,3,0
296,0,0.0,3,0
297,0,0.0,3,0
298,0,0.0,3,0
299,0,0.0,3,0
300,0,0.0,3,0
301,0,0.0,3,0
302,0,0.0,3,0
303,0,0.0,3,0
304,0,0.0,3,0
305,0,0.0,3,0
306,0,0.0,3,0
307,0,0.0,3,0
308,0,0.0,3,0
309,0,0.0,3,0
310,0,0.0,3,0
311,0,0.0,3,0
312,0,0.0,3,0
313,0,0.0,3,0
314,0,0.0,3,0
315,0,0.0,3,0
316,0,0.0,3,0
317,0,0.0,3,0
318,0,0.0,3,0
319,0,0.0,3,0
320,0,0.0,3,0
321,2,0.0,3,0
322,2,0.0,3,0
323,0,0.0,3,0
324,0,0.0,3,0
325,0,0.0,3,0
326,0,0.0,3,0
327,0,0.0,3,0
328,0,0.0,3,0
329,0,0.0,3,0
330,0,0.0,3,0
331,0,0.0,3,0
332,0,0.0,3,0
333,3,0.0,3,0
334,0,0.0,3,0
335,0,0.0,3,0
336,0,0.0,3,0
337,0,0.0,3,0
338,0,0.0,3,0
339,0,0.0,3,0
340,0,0.0,3,0
341,3,0.0,3,0
342,3,0.0,3,0
343,0,0.0,3,0
344,0,0.0,3,0
345,2,0.0,3,0
346,2,0.0,3,0
347,2,0.0,3,0
348,0,0.0,3,0
349,0,0.0,3,0
350,0,0.0,3,0
351,0,0.0,3,0
352,3,0.0,3,0
353,3,0.0,3,0
354,0,0.0,3,0
355,0,0.0,3,0
356,0,0.0,3,0
357,0,0.0,3,0
358,2,0.0,3,0
359,0,0.0,3,0
360,0,0.0,3,0
361,0,0.0,3,0
362,0,0.0,3,0
363,0,0.0,3,0
364,0,0.0,3,0
365,0,0.0,3,0
366,0,0.0,3,0
367,0,0.0,3,0
368,0,0.0,3,0
369,0,0.0,3,0
370,0,0.0,3,0
371,0,0.0,3,0
372,0,0.0,3,0
373,0,0.0,3,0
374,0,0.0,3,0
375,0,0.0,3,0
376,0,0.0,3,0
377,0,0.0,3,0
378,0,0.0,3,0
379,0,0.0,3,0
380,0,0.0,3,0
